cause_i,effect_j,lingam_b_ij,b_median_bootstrap,b_iqr_low,b_iqr_high,bootstrap_freq,is_stable_edge,has_path,n_int_cells,mw_pvalue_raw,mw_p_bh,wasserstein,verdict,mw_pvalue_raw_rev,mw_p_bh_rev
ENSG00000163682,ENSG00000089157,0.0,0.018316286259790586,0.0,0.03048592217133175,0.51,False,False,194,0.003032022628541219,0.0038483364131484702,0.09109962323604587,false_omission,0.04963317878587322,0.057850592492143624
ENSG00000083845,ENSG00000089157,0.0,0.0,0.0,0.0,0.1,False,True,115,0.0001669989972913796,0.00022465088043273484,0.09105213945131167,indirect_path,0.3803985375781427,0.40494037871221644
ENSG00000188846,ENSG00000083845,0.0,0.0,0.0,0.0,0.22,False,False,176,0.0028970806220714063,0.003685924261334223,0.09076794028220714,false_omission,6.201991992175186e-18,1.3759041058271002e-17
ENSG00000144713,ENSG00000265681,0.0,0.0,0.0,0.0,0.04,False,True,166,0.0015579891851579997,0.002011291662013261,0.0906740192082726,indirect_path,4.926473883327164e-15,9.909250325320925e-15
ENSG00000174748,ENSG00000134419,0.0,0.0,0.0,0.0,0.04,False,False,134,0.0012958511103971517,0.0016831719219918722,0.0901681638756509,false_omission,6.4121623661318e-36,3.224401646969134e-35
ENSG00000174748,ENSG00000089009,0.0,0.0,0.0,0.0,0.05,False,False,134,0.051759967939440765,0.060196614696089695,0.09005579504284353,silent_negative,3.2036227850886964e-27,1.1390658791426476e-26
ENSG00000188846,ENSG00000063177,0.0,0.0,0.0,0.0,0.07,False,False,176,8.177952984187867e-06,1.1576298058046096e-05,0.08951354935185109,false_omission,1.9119651189741992e-19,4.599168942224953e-19
ENSG00000186468,ENSG00000083845,0.0,0.0,0.0,0.0,0.09,False,False,91,0.014958812909742561,0.01836803073568389,0.08911162330960114,false_omission,8.302774595566012e-29,3.131332133184896e-28
ENSG00000167526,ENSG00000186468,0.0,0.0,0.0,0.0,0.17,False,True,270,2.380781817951739e-06,3.4677318617338436e-06,0.08897513129859605,indirect_path,7.458315915538907e-19,1.7502181348464635e-18
ENSG00000145592,ENSG00000198755,0.0,0.0,0.0,0.0,0.08,False,True,306,7.504407985364831e-07,1.1098956348102607e-06,0.08869493697207942,indirect_path,0.7148143254079471,0.7290696143932363
ENSG00000145425,ENSG00000083845,0.0,0.0,0.0,0.0,0.12,False,False,128,0.000317407410010752,0.00041950215891283367,0.08826325811301108,false_omission,1.4511460473562202e-24,4.493871630522488e-24
ENSG00000198755,ENSG00000233927,0.0,0.0,0.0,0.0,0.0,False,False,206,7.870989464275968e-06,1.120010423296758e-05,0.08711775108961635,false_omission,1.3357219708671361e-23,3.984526557162982e-23
ENSG00000144713,ENSG00000174748,0.0,0.0,0.0,0.25995433670601037,0.26,False,False,166,0.0008880752994749094,0.0011606528666404756,0.08691602729259565,false_omission,5.379401077955697e-13,9.743820820448054e-13
ENSG00000144713,ENSG00000161970,0.0,0.0,0.0,0.0,0.08,False,False,166,8.397945342504973e-05,0.00011428131806295428,0.08621496840277859,false_omission,9.705147173558005e-10,1.6063691873475319e-09
ENSG00000089157,ENSG00000142541,0.0,0.10704914033319482,0.0,0.13744627482523644,0.57,False,False,147,0.001272638204742891,0.0016550565815375527,0.08620499169694212,false_omission,0.4585662034167982,0.4837621486594794
